# © 2026 Ambika Analytics LLC Confidential and Proprietary Trade Secret – Not for Distribution
# Copyright (c) 2017-2026 Ambika Analytics LLC (https://acceleratedindexing.com/). All rights reserved.

AAPIS™ MONTE CARLO TEST: SCRAPE MODE
Started at: 22:20:06 4/27/2026

To establish a baseline, we performed a Monte Carlo stress test
where the AAPIS™ predictive signals were replaced with stochastic (random)
entries maintaining the same historical frequency.

======================================================================

[1/2] Capturing Base Case performance...
 >> Strategy CAGR:    22.38%
 >> Strategy Sortino: 1.21

[2/2] Running 1000 Random Iterations...
Iteration: 0001 | Random CAGR:  12.77% | Random Sortino:  0.72
Iteration: 0002 | Random CAGR:  15.79% | Random Sortino:  0.86
Iteration: 0003 | Random CAGR:   9.46% | Random Sortino:  0.48
Iteration: 0004 | Random CAGR:  10.37% | Random Sortino:  0.65
Iteration: 0005 | Random CAGR:  10.89% | Random Sortino:  0.56
Iteration: 0006 | Random CAGR:  13.41% | Random Sortino:  0.59
Iteration: 0007 | Random CAGR:  12.64% | Random Sortino:  0.67
Iteration: 0008 | Random CAGR:  11.16% | Random Sortino:  0.62
Iteration: 0009 | Random CAGR:  11.55% | Random Sortino:  0.51
Iteration: 0010 | Random CAGR:  14.62% | Random Sortino:  0.81
Iteration: 0011 | Random CAGR:  18.47% | Random Sortino:  0.95
Iteration: 0012 | Random CAGR:  17.42% | Random Sortino:  0.84
Iteration: 0013 | Random CAGR:  11.67% | Random Sortino:  0.57
Iteration: 0014 | Random CAGR:  11.10% | Random Sortino:  0.65
Iteration: 0015 | Random CAGR:  14.23% | Random Sortino:  0.76
Iteration: 0016 | Random CAGR:  13.23% | Random Sortino:  0.84
Iteration: 0017 | Random CAGR:  10.71% | Random Sortino:  0.51
Iteration: 0018 | Random CAGR:  12.09% | Random Sortino:  0.64
Iteration: 0019 | Random CAGR:  12.54% | Random Sortino:  0.70
Iteration: 0020 | Random CAGR:  12.35% | Random Sortino:  0.66
Iteration: 0021 | Random CAGR:  15.43% | Random Sortino:  0.92
Iteration: 0022 | Random CAGR:  14.41% | Random Sortino:  0.89
Iteration: 0023 | Random CAGR:  10.24% | Random Sortino:  0.55
Iteration: 0024 | Random CAGR:   9.88% | Random Sortino:  0.44
Iteration: 0025 | Random CAGR:   9.29% | Random Sortino:  0.53
Iteration: 0026 | Random CAGR:  13.79% | Random Sortino:  0.71
Iteration: 0027 | Random CAGR:  14.77% | Random Sortino:  0.64
Iteration: 0028 | Random CAGR:  17.19% | Random Sortino:  1.04
Iteration: 0029 | Random CAGR:  13.17% | Random Sortino:  0.65
Iteration: 0030 | Random CAGR:  14.59% | Random Sortino:  0.82
Iteration: 0031 | Random CAGR:  12.18% | Random Sortino:  0.81
Iteration: 0032 | Random CAGR:  10.04% | Random Sortino:  0.53
Iteration: 0033 | Random CAGR:  10.71% | Random Sortino:  0.57
Iteration: 0034 | Random CAGR:  16.07% | Random Sortino:  0.88
Iteration: 0035 | Random CAGR:  14.78% | Random Sortino:  0.76
Iteration: 0036 | Random CAGR:  19.77% | Random Sortino:  1.11
Iteration: 0037 | Random CAGR:  16.02% | Random Sortino:  0.86
Iteration: 0038 | Random CAGR:  13.15% | Random Sortino:  0.76
Iteration: 0039 | Random CAGR:  13.06% | Random Sortino:  0.74
Iteration: 0040 | Random CAGR:  10.82% | Random Sortino:  0.51
Iteration: 0041 | Random CAGR:  11.00% | Random Sortino:  0.62
Iteration: 0042 | Random CAGR:  14.58% | Random Sortino:  0.79
Iteration: 0043 | Random CAGR:  12.48% | Random Sortino:  0.60
Iteration: 0044 | Random CAGR:  15.01% | Random Sortino:  0.74
Iteration: 0045 | Random CAGR:  16.27% | Random Sortino:  0.86
Iteration: 0046 | Random CAGR:  10.75% | Random Sortino:  0.59
Iteration: 0047 | Random CAGR:  10.36% | Random Sortino:  0.45
Iteration: 0048 | Random CAGR:  10.05% | Random Sortino:  0.56
Iteration: 0049 | Random CAGR:  15.93% | Random Sortino:  0.96
Iteration: 0050 | Random CAGR:  13.19% | Random Sortino:  0.70
Iteration: 0051 | Random CAGR:  11.15% | Random Sortino:  0.52
Iteration: 0052 | Random CAGR:  11.80% | Random Sortino:  0.54
Iteration: 0053 | Random CAGR:  11.32% | Random Sortino:  0.56
Iteration: 0054 | Random CAGR:  11.01% | Random Sortino:  0.61
Iteration: 0055 | Random CAGR:  13.99% | Random Sortino:  0.71
Iteration: 0056 | Random CAGR:  10.14% | Random Sortino:  0.59
Iteration: 0057 | Random CAGR:   8.50% | Random Sortino:  0.53
Iteration: 0058 | Random CAGR:  13.99% | Random Sortino:  0.57
Iteration: 0059 | Random CAGR:  13.78% | Random Sortino:  0.72
Iteration: 0060 | Random CAGR:  14.45% | Random Sortino:  0.75
Iteration: 0061 | Random CAGR:  11.17% | Random Sortino:  0.58
Iteration: 0062 | Random CAGR:  14.35% | Random Sortino:  0.91
Iteration: 0063 | Random CAGR:  16.89% | Random Sortino:  0.91
Iteration: 0064 | Random CAGR:  10.40% | Random Sortino:  0.50
Iteration: 0065 | Random CAGR:  11.78% | Random Sortino:  0.63
Iteration: 0066 | Random CAGR:  10.94% | Random Sortino:  0.56
Iteration: 0067 | Random CAGR:  10.42% | Random Sortino:  0.53
Iteration: 0068 | Random CAGR:   9.64% | Random Sortino:  0.59
Iteration: 0069 | Random CAGR:  11.76% | Random Sortino:  0.72
Iteration: 0070 | Random CAGR:  11.80% | Random Sortino:  0.55
Iteration: 0071 | Random CAGR:  13.18% | Random Sortino:  0.72
Iteration: 0072 | Random CAGR:  10.87% | Random Sortino:  0.53
Iteration: 0073 | Random CAGR:  13.05% | Random Sortino:  0.72
Iteration: 0074 | Random CAGR:  11.63% | Random Sortino:  0.78
Iteration: 0075 | Random CAGR:  10.84% | Random Sortino:  0.57
Iteration: 0076 | Random CAGR:  12.68% | Random Sortino:  0.78
Iteration: 0077 | Random CAGR:   8.84% | Random Sortino:  0.46
Iteration: 0078 | Random CAGR:  12.46% | Random Sortino:  0.85
Iteration: 0079 | Random CAGR:  10.81% | Random Sortino:  0.57
Iteration: 0080 | Random CAGR:  17.54% | Random Sortino:  0.95
Iteration: 0081 | Random CAGR:   8.84% | Random Sortino:  0.44
Iteration: 0082 | Random CAGR:  12.67% | Random Sortino:  0.67
Iteration: 0083 | Random CAGR:  12.04% | Random Sortino:  0.64
Iteration: 0084 | Random CAGR:  15.86% | Random Sortino:  0.75
Iteration: 0085 | Random CAGR:  12.74% | Random Sortino:  0.67
Iteration: 0086 | Random CAGR:  13.47% | Random Sortino:  0.76
Iteration: 0087 | Random CAGR:  12.78% | Random Sortino:  0.62
